location_id_str,state_abbr,location_desc,race,Female,Male,male_female_diff,male_female_ratio
01001,AL,Autauga County,Black,368.6,583.1,214.5,1.5819316332067281
01001,AL,Autauga County,Overall,299.7,544.4,244.7,1.816483149816483
01001,AL,Autauga County,White,302.0,548.2,246.20000000000005,1.8152317880794704
01003,AL,Baldwin County,American Indian or Alaska Native,164.1,249.9,85.80000000000001,1.5228519195612433
01003,AL,Baldwin County,Asian,,586.3,,
01003,AL,Baldwin County,Black,407.0,647.5,240.5,1.5909090909090908
01003,AL,Baldwin County,Hispanic,82.9,189.2,106.29999999999998,2.2822677925211097
01003,AL,Baldwin County,Overall,282.3,449.4,167.09999999999997,1.5919234856535598
01003,AL,Baldwin County,White,281.4,448.0,166.60000000000002,1.592039800995025
01005,AL,Barbour County,Black,537.5,763.0,225.5,1.4195348837209303
01005,AL,Barbour County,Overall,452.7,664.4,211.7,1.4676386127678374
01005,AL,Barbour County,White,379.7,583.8,204.09999999999997,1.5375296286542006
01007,AL,Bibb County,Black,377.1,668.6,291.5,1.7730045080880403
01007,AL,Bibb County,Overall,382.6,590.5,207.89999999999998,1.5433873497124935
01007,AL,Bibb County,White,373.9,563.2,189.30000000000007,1.5062851029687083
01009,AL,Blount County,Black,365.6,633.7,268.1,1.7333150984682713
01009,AL,Blount County,Hispanic,,135.3,,
01009,AL,Blount County,Overall,334.4,640.1,305.70000000000005,1.9141746411483256
01009,AL,Blount County,White,349.7,680.7,331.00000000000006,1.9465255933657422
01011,AL,Bullock County,Black,356.4,638.8,282.4,1.792368125701459
01011,AL,Bullock County,Overall,327.2,554.3,227.09999999999997,1.6940709046454767
01011,AL,Bullock County,White,275.9,464.3,188.40000000000003,1.6828561072852484
01013,AL,Butler County,Black,352.5,528.6,176.10000000000002,1.4995744680851064
01013,AL,Butler County,Overall,342.2,500.6,158.40000000000003,1.462887200467563
01013,AL,Butler County,White,412.9,566.0,153.10000000000002,1.3707919593121822
01015,AL,Calhoun County,Black,494.3,891.7,397.40000000000003,1.8039652033178233
01015,AL,Calhoun County,Overall,484.4,806.0,321.6,1.6639141205615195
01015,AL,Calhoun County,White,494.0,810.8,316.79999999999995,1.6412955465587045
01017,AL,Chambers County,Black,314.5,522.9,208.39999999999998,1.6626391096979332
01017,AL,Chambers County,Overall,318.1,551.2,233.10000000000002,1.7327884313109085
01017,AL,Chambers County,White,323.9,563.9,240.0,1.7409694350108058
01019,AL,Cherokee County,Black,509.0,830.2,321.20000000000005,1.6310412573673871
01019,AL,Cherokee County,Overall,354.4,555.6,201.20000000000005,1.5677200902934538
01019,AL,Cherokee County,White,355.6,587.4,231.79999999999995,1.6518560179977502
01021,AL,Chilton County,Black,409.7,800.5,390.8,1.953868684403222
01021,AL,Chilton County,Overall,404.3,595.9,191.59999999999997,1.4739055157061587
01021,AL,Chilton County,White,406.1,591.0,184.89999999999998,1.4553065747352867
01023,AL,Choctaw County,Black,461.6,869.2,407.6,1.8830155979202774
01023,AL,Choctaw County,Overall,402.6,671.1,268.5,1.6669150521609537
01023,AL,Choctaw County,White,382.1,560.8,178.69999999999993,1.4676786181627843
01025,AL,Clarke County,Black,514.9,878.4,363.5,1.7059623227811225
01025,AL,Clarke County,Overall,367.2,659.7,292.50000000000006,1.7965686274509807
01025,AL,Clarke County,White,301.6,519.0,217.39999999999998,1.7208222811671086
01027,AL,Clay County,Black,469.9,774.4,304.5,1.6480102149393487
01027,AL,Clay County,Overall,440.9,676.2,235.30000000000007,1.5336811068269451
01027,AL,Clay County,White,438.5,678.7,240.20000000000005,1.5477765108323833
01029,AL,Cleburne County,Black,473.0,826.3,353.29999999999995,1.7469344608879491
01029,AL,Cleburne County,Overall,456.0,701.8,245.79999999999995,1.5390350877192982
